temperature,humidity,label
20.97,79.85,1
23.01,89.9,1
26.2,88.95,0
35.42,82.09,1
21.62,81.93,1
29.57,72.21,0
26.98,95.04,1
28.31,90.48,1
29.93,88.33,0
25.08,70.12,0
29.84,76.32,0
25.95,80.73,0
26.13,83.72,0
32.44,92.99,1
26.18,80.8,0
26.19,75.26,0
30.15,76.49,0
25.07,78.25,0
27.82,68.32,0
31.72,85.5,0
31.99,86.33,0
21.39,84.13,1
33.33,75.39,1
31.28,60.55,0
33.45,93.79,1
26.6,92.38,1
35.6,66.89,1
27.33,78.85,0
25.92,73.23,0
29.19,80.32,0
27.08,72.41,0
27.89,90.02,1
27.7,77.7,0
29.24,78.64,0
28.64,98.66,1
25.84,91.18,1
27.98,81.77,0
30.79,76.69,0
26.38,82.33,0
18.92,88.02,1
25.61,80.67,0
24.53,88.05,1
31.54,78.55,0
31.88,83.53,0
29.82,75.54,0
29.59,94.93,1
27.47,84.53,0
28.01,77.06,0
28.26,69.43,0
27.96,86.46,0
26.84,74.53,0
27.42,77.14,0
29.08,77.92,0
23.55,91.11,1
25.25,81.34,0
33.03,80.17,1
27.67,86.78,0
25.32,68.87,0
28.51,75.6,0
22.73,83.16,1
22.57,90.02,1
30.75,59.93,1
31.76,75.08,0
28.78,76.91,0
26.99,94.7,1
25.72,96.5,1
28.28,77.81,0
29.86,68.69,0
30.37,85.69,0
21.55,75.69,1
24.59,85.71,1
28.45,60.74,0
20.6,85.28,1
24.89,96.16,1
29.72,88.89,0
31.81,83.05,0
27.62,80.16,0
33.56,83.07,1
27.07,77.38,0
28.87,74.35,0
27.8,69.08,0
26.99,82.2,0
29.02,78.87,0
31.24,84.69,0
29.98,84.97,0
23.18,75.84,1
23.65,93.72,1
26.42,74.7,0
24.08,90.87,1
25.03,77.19,0
30.9,77.2,0
25.99,79.3,0
30.09,87.02,0
31.93,76.03,0
26.9,81.34,0
20.98,74.71,1
30.87,98.86,1
22.01,85.3,1
28.09,82.72,0
26.53,80.56,0
27.67,83.61,0
24.14,64.76,1
29.12,87.72,0
20.0,84.63,1
29.39,68.87,0
27.85,88.12,0
27.65,74.93,0
23.7,80.0,1
24.79,72.08,1
33.84,73.43,1
28.33,81.84,0
20.8,76.34,1
31.92,59.62,1
31.02,81.89,0
20.37,85.16,1
26.7,91.74,1
31.9,86.54,0
30.27,76.87,0
30.48,89.43,0
33.81,90.86,1
23.49,79.95,1
27.23,90.66,1
25.71,65.56,0
30.03,83.33,0
27.41,78.21,0
29.5,74.96,0
20.82,69.41,1
27.67,81.19,0
36.0,69.97,1
29.13,78.43,0
29.8,85.26,0
28.04,72.13,0
29.28,88.27,0
26.64,77.84,0
27.95,73.56,0
25.51,76.96,0
24.58,82.54,1
24.02,65.65,1
28.72,68.61,0
23.86,69.88,1
26.95,62.57,0
25.83,84.26,0
34.65,80.48,1
26.82,74.3,0
27.1,81.62,0
23.34,88.08,1
24.53,71.4,1
25.16,89.33,0
25.39,77.5,0
18.09,81.07,1
32.25,61.36,1
25.08,100.0,1
29.08,79.11,0
30.41,85.11,0
25.92,83.44,0
21.66,75.48,1
27.19,69.51,0
28.66,92.66,1
26.8,90.3,1
27.25,82.42,0
25.02,87.83,0
32.16,77.84,1
28.05,73.31,0
32.56,85.06,1
24.35,71.32,1
29.53,82.61,0
28.25,60.19,0
33.04,69.77,1
28.1,77.57,0
25.08,80.77,0
25.57,87.58,0
22.5,87.78,1
29.33,100.0,1
31.51,76.29,0
21.84,83.01,1
28.04,73.49,0
26.05,75.65,0
26.78,87.35,0
23.14,84.47,1
19.67,79.14,1
30.89,81.96,0
30.07,74.36,0
21.76,80.93,1
25.68,78.7,0
29.05,85.49,0
30.04,66.14,0
29.89,94.32,1
23.28,76.69,1
31.2,84.78,0
33.31,64.2,1
30.26,77.48,0
32.72,82.78,1
30.26,85.21,0
26.5,83.99,0
23.79,74.94,1
27.46,75.78,0
30.9,69.56,0
28.09,83.6,0
23.09,77.66,1
28.37,89.22,0
21.29,79.3,1
20.28,72.72,1
31.41,78.38,0
27.35,85.99,0
31.63,83.8,0
28.45,90.07,1
34.06,72.81,1
24.71,85.24,1
30.99,68.68,0
30.58,84.46,0
20.23,95.01,1
25.24,73.96,0
31.7,78.12,0
26.81,79.29,0
21.88,94.65,1
29.76,81.19,0
34.24,76.4,1
29.57,76.36,0
21.64,71.53,1
30.88,68.12,0
29.09,80.31,0
24.58,89.7,1
22.34,74.38,1
22.84,73.76,1
26.71,74.39,0
28.27,73.41,0
24.7,86.04,1
26.91,81.3,0
21.6,96.55,1
21.46,81.49,1
25.3,69.34,0
25.41,89.95,0
28.39,85.48,0
25.96,83.31,0
25.57,80.01,0
31.17,78.04,0
23.37,88.75,1
27.99,81.23,0
25.54,77.68,0
25.1,88.07,0
29.82,68.15,0
30.56,79.86,0
33.15,80.82,1
27.19,87.56,0
23.37,81.91,1
34.35,59.98,1
30.33,83.3,0
25.38,82.61,0
24.41,66.47,1
28.28,67.65,0
26.41,83.55,0
26.97,76.02,0
27.84,98.62,1
30.94,87.02,0
28.78,80.06,0
24.95,81.87,1
28.02,77.22,0
23.59,77.76,1
22.29,74.41,1
23.46,83.62,1
23.83,80.39,1
24.61,89.26,1
25.23,87.22,0
28.98,71.07,0
24.51,76.35,1
24.38,71.39,1
28.46,70.96,0
21.86,89.35,1
30.88,72.86,0
26.64,90.32,1
29.53,78.03,0
29.85,75.26,0
24.3,88.22,1
24.65,61.81,1
30.38,74.29,0
22.18,75.73,1
20.23,97.23,1
28.53,84.23,0
26.94,85.02,0
25.36,70.81,0
28.1,70.3,0
29.34,59.25,1
27.88,83.82,0
28.46,75.97,0
31.72,83.41,0
30.0,87.45,0
28.15,82.95,0
28.72,70.28,0
25.86,83.58,0
27.55,68.87,0
27.53,66.53,0
30.11,74.97,0
26.21,86.77,0
30.27,68.23,0
35.76,91.35,1
27.09,92.04,1
30.49,93.25,1
18.0,88.03,1
25.22,78.97,0
21.39,71.62,1
29.62,80.27,0
24.13,84.38,1
30.17,73.15,0
29.33,78.35,0
34.29,71.52,1
30.02,84.54,0
23.48,74.59,1
27.67,74.45,0
29.17,80.09,0
27.01,95.45,1
25.74,80.45,0
32.11,71.09,1
24.16,73.97,1
30.29,82.49,0
28.95,89.93,0
23.19,74.94,1
36.0,95.44,1
29.13,80.3,0
24.37,91.98,1
19.65,83.27,1
36.0,83.0,1
20.92,69.39,1
23.66,75.23,1
26.83,92.79,1
27.93,78.5,0
25.69,83.91,0
28.15,73.69,0
25.8,79.66,0
27.83,72.51,0
32.4,75.14,1
28.79,92.01,1
25.44,92.83,1
25.46,82.33,0
32.19,82.21,1
28.56,88.68,0
26.49,61.93,0
26.7,76.11,0
26.17,75.51,0
25.25,91.1,1
20.85,77.36,1
32.92,79.48,1
26.66,62.7,0
25.5,87.52,0
31.04,63.85,0
30.03,74.71,0
23.17,66.52,1
23.9,85.89,1
26.31,85.74,0
29.74,86.21,0
31.48,78.96,0
30.8,78.34,0
28.61,79.45,0
21.37,74.94,1
24.32,76.76,1
25.1,92.63,1
28.27,73.28,0
23.73,73.41,1
28.36,84.63,0
27.2,82.93,0
27.24,79.7,0
25.61,76.65,0
28.9,86.25,0
27.75,80.15,0
23.39,83.02,1
25.16,81.26,0
27.23,75.67,0
22.37,77.97,1
32.21,96.07,1
31.44,85.24,0
28.6,84.55,0
29.03,67.01,0
31.58,84.9,0
25.31,80.62,0
29.16,83.37,0
26.13,76.66,0
30.15,91.16,1
24.46,72.71,1
30.48,89.3,0
29.06,65.24,0
24.46,97.86,1
26.68,70.53,0
24.58,86.41,1
29.38,76.28,0
27.98,75.66,0
28.52,59.61,1
25.37,61.97,0
26.82,73.31,0
27.18,82.11,0
18.65,85.38,1
23.71,85.43,1
24.44,74.44,1
24.97,83.49,1
34.41,74.04,1
28.76,66.82,0
29.05,86.67,0
29.2,72.44,0
29.48,81.23,0
30.87,79.68,0
30.79,66.01,0
27.79,82.78,0
33.82,77.85,1
26.84,79.73,0
29.65,70.62,0
26.55,88.14,0
22.81,86.15,1
29.65,78.38,0
28.07,83.17,0
29.75,73.79,0
29.47,82.76,0
29.49,82.0,0
23.67,67.65,1
27.21,66.08,0
29.0,75.67,0
27.02,85.33,0
23.15,86.6,1
22.77,90.19,1
25.83,83.77,0
35.0,82.79,1
28.15,85.22,0
28.44,79.3,0
32.42,67.89,1
34.42,77.38,1
26.31,86.89,0
34.71,69.14,1
29.79,88.84,0
30.68,87.6,0
29.06,67.28,0
20.12,86.69,1
24.0,79.62,1
22.55,68.73,1
31.2,69.12,0
29.31,91.54,1
29.21,97.02,1
33.03,70.25,1
22.39,67.96,1
30.46,76.26,0
29.71,79.74,0
29.66,85.84,0
25.69,71.43,0
30.18,73.32,0
30.83,77.18,0
35.24,83.91,1
25.57,68.76,0
32.16,77.1,1
28.21,67.43,0
22.99,77.64,1
32.54,79.69,1
33.25,64.87,1
31.0,71.23,0
26.92,75.18,0
28.63,83.43,0
24.89,83.45,1
32.32,63.46,1
28.46,69.24,0
33.07,89.75,1
25.82,85.58,0
28.11,73.86,0
25.61,74.63,0
29.94,80.9,0
27.51,79.47,0
24.77,84.83,1
28.49,91.05,1
22.06,74.42,1
29.63,85.88,0
23.19,83.59,1
28.55,70.45,0
29.41,84.68,0
24.33,79.74,1
22.89,88.76,1
32.04,99.29,1
31.32,72.37,0
29.72,87.99,0
26.01,80.24,0
25.15,86.8,0
34.7,73.4,1
26.9,73.43,0
31.8,72.28,0
26.5,71.34,0
31.91,85.47,0
22.71,79.92,1
29.87,71.42,0
30.44,89.57,0
26.92,98.51,1
24.58,76.35,1
24.21,83.67,1
23.04,77.67,1
28.48,90.48,1
33.17,69.34,1
24.93,73.39,1
29.42,81.98,0
28.82,75.9,0
35.09,82.17,1
30.52,77.32,0
25.49,79.91,0
27.34,68.92,0
30.25,66.29,0
24.4,88.32,1
20.63,90.04,1
24.63,80.11,1
32.43,73.89,1
23.85,79.06,1
25.26,76.31,0
30.08,67.88,0
25.34,89.79,0
26.14,89.16,0
24.9,72.93,1
30.74,72.91,0
27.71,66.91,0
27.7,82.6,0
22.9,67.22,1
26.21,95.26,1
35.88,83.36,1
30.09,64.61,0
27.05,75.5,0
24.02,81.76,1
25.45,82.08,0
26.22,83.84,0
30.79,78.68,0
29.23,81.74,0
26.64,76.9,0
27.62,71.6,0
31.3,89.11,0
32.55,93.13,1
24.52,83.48,1
26.52,81.1,0
24.24,81.11,1
29.03,82.19,0
27.33,64.32,0
32.49,76.95,1
25.07,88.47,0
24.81,86.68,1
28.67,89.94,0
18.0,86.46,1
20.93,94.22,1
22.86,81.22,1
27.23,86.5,0
24.19,65.71,1
21.73,78.86,1
31.38,74.13,0
28.83,85.34,0
25.4,91.92,1
29.86,72.47,0
26.35,82.29,0
30.63,83.3,0
26.31,71.16,0
23.87,68.9,1
27.3,65.53,0
23.78,90.29,1
29.57,78.28,0
26.56,79.11,0
25.94,99.98,1
29.47,75.83,0
23.71,76.88,1
23.68,74.92,1
29.95,83.48,0
24.0,69.07,1
30.76,79.47,0
26.82,75.77,0
34.38,71.62,1
27.01,92.29,1
32.96,75.27,1
32.84,65.8,1
27.18,88.93,0
25.31,79.64,0
33.34,73.74,1
29.32,81.13,0
36.0,67.78,1
35.14,80.1,1
27.26,73.21,0
27.53,73.7,0
21.09,86.15,1
19.25,78.41,1
24.86,77.26,1
30.82,80.21,0
28.09,97.63,1
30.75,85.94,0
33.21,70.32,1
25.89,85.96,0
26.72,73.8,0
26.52,60.65,0
19.36,81.27,1
34.29,71.33,1
31.3,74.82,0
29.52,74.82,0
28.06,82.16,0
32.0,87.4,0
23.82,69.58,1
28.7,89.85,0
33.98,79.81,1
33.29,84.43,1
31.19,82.07,0
21.65,84.08,1
35.5,83.83,1
30.16,80.48,0
30.49,76.45,0
24.58,83.31,1
30.13,87.83,0
25.35,82.31,0
28.83,83.49,0
29.47,76.8,0
25.45,74.22,0
28.7,81.56,0
25.25,73.94,0
32.58,77.28,1
29.51,84.43,0
36.0,71.46,1
33.21,68.58,1
23.0,68.62,1
21.48,85.96,1
22.43,84.05,1
24.66,75.3,1
30.45,76.04,0
23.6,80.62,1
35.97,76.72,1
18.51,71.02,1
32.84,62.25,1
25.81,84.13,0
25.86,76.14,0
29.03,75.23,0
35.46,78.32,1
26.85,99.04,1
33.86,77.82,1
30.59,77.65,0
29.28,81.45,0
26.96,74.7,0
25.56,72.49,0
24.28,90.1,1
25.92,74.82,0
26.88,80.2,0
33.2,81.13,1
24.26,76.39,1
27.89,74.97,0
26.36,75.8,0
35.24,93.03,1
31.03,78.95,0
30.19,82.7,0
29.37,80.28,0
30.18,83.43,0
26.45,79.62,0
28.39,70.45,0
26.96,87.44,0
26.26,81.45,0
23.51,80.03,1
30.2,84.34,0
24.78,83.4,1
33.17,76.73,1
24.2,78.38,1
26.65,86.27,0
25.52,76.13,0
34.42,82.17,1
31.75,80.94,0
33.79,87.05,1
23.65,90.3,1
26.78,79.6,0
25.2,74.84,0
26.29,78.69,0
27.1,87.14,0
28.97,75.53,0
22.52,79.69,1
32.25,87.46,1
24.61,76.76,1
23.73,88.13,1
34.19,72.56,1
26.5,83.14,0
24.82,76.05,1
25.59,77.4,0
23.56,81.15,1
33.98,96.99,1
26.33,76.65,0
29.63,73.75,0
28.35,71.2,0
33.97,74.7,1
30.38,71.91,0
